City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,selfoss,63.9331,-20.9971,3.36,87,90,4.18,IS,1700121533
83,chonchi,-42.6128,-73.8092,9.56,99,100,2.39,CL,1700121533
84,castillos,-34.1667,-53.8333,16.03,97,88,2.64,UY,1700121533
85,thompson,55.7435,-97.8558,-1.91,80,75,5.14,CA,1700121534
86,las varas,21.1667,-105.1667,25.04,82,31,1.13,MX,1700121534
87,gadzhiyevo,69.2551,33.3362,-5.6,84,100,9.02,RU,1700121535
88,tiksi,71.6872,128.8694,-13.2,83,100,9.23,RU,1700121535
89,bayanhongor,46.7167,100.1167,-7.3,75,3,0.57,MN,1700121535
90,ancud,-41.8697,-73.8203,9.81,96,100,7.4,CL,1700121535
91,lorengau,-2.0226,147.2712,27.98,78,7,2.79,PG,1700121536
92,yuzhno-kurilsk,44.0306,145.8556,6.32,65,6,3.45,RU,1700121536
93,mount isa,-20.7333,139.5,40.87,14,33,4.63,AU,1700121536
94,utrik,11.2278,169.8474,28.24,83,14,9.01,MH,1700121536
95,vadso,70.0744,29.7487,-7.91,67,20,5.66,NO,1700121537
96,chibougamau,49.9168,-74.3659,-2.21,93,40,2.06,CA,1700121537
97,taiynsha,53.8478,69.7639,4.07,89,100,5.36,KZ,1700121537
98,tolanaro,-25.0319,46.9987,23.04,73,75,6.17,MG,1700121538
99,keflavik,64.0049,-22.5624,3.24,93,75,3.09,IS,1700121538
100,avarua,-21.2078,-159.775,22.03,73,40,4.12,CK,1700121538
101,mar del plata,-38.0023,-57.5575,12.15,64,0,3.6,AR,1700121243
102,hilo,19.7297,-155.09,21.27,96,100,2.57,US,1700121539
103,olyokminsk,60.3736,120.4264,-16.67,97,64,2.0,RU,1700121539
104,iqaluit,63.7506,-68.5145,-3.15,86,100,11.83,CA,1700121539
105,huicungo,-7.2833,-76.8,20.8,99,93,0.51,PE,1700121540
106,kodiak,57.79,-152.4072,3.73,81,0,3.6,US,1700121504
107,sisimiut,66.9395,-53.6735,-8.74,80,81,3.12,GL,1700121540
108,kerikeri,-35.2268,173.9474,17.73,78,100,1.79,NZ,1700121540
109,tchintabaraden,15.8969,5.7985,26.91,14,2,6.32,NE,1700121541
110,taksimo,56.3444,114.8794,-15.29,83,64,0.4,RU,1700121541
111,tabuk,17.4189,121.4443,27.8,74,35,1.9,PH,1700121541
112,nemuro,43.3236,145.575,6.61,60,3,3.52,JP,1700121542
113,georgetown,5.4112,100.3354,30.96,79,20,3.09,MY,1700121491
114,oamaru,-45.0784,170.9801,13.54,82,100,1.54,NZ,1700121542
115,novyy rogachik,48.6768,44.0608,8.5,83,100,2.09,RU,1700121543
116,al ghayzah,16.2079,52.176,28.48,64,67,5.81,YE,1700121543
117,puerto ayora,-0.7393,-90.3518,23.08,97,85,1.34,EC,1700121543
118,kavaratti,10.5669,72.642,28.71,68,58,3.32,IN,1700121544
119,dudinka,69.4058,86.1778,-4.1,95,100,5.36,RU,1700121544
120,forster,-32.1667,152.5167,21.32,89,100,2.81,AU,1700121544
121,kruisfontein,-34.0033,24.7314,25.32,36,100,9.82,ZA,1700121544
122,saint-denis,48.9167,2.3333,9.77,98,75,6.17,FR,1700121545
123,bima,-8.4667,118.7167,31.73,59,91,2.15,ID,1700121545
124,brisas de zicatela,15.8369,-97.0419,26.13,73,57,2.01,MX,1700121545
125,alofi,-19.0595,-169.9187,24.94,94,63,5.14,NU,1700121546
126,san antonio de pale,-1.4014,5.6325,26.7,82,9,4.02,GQ,1700121546
127,san patricio,28.017,-97.5169,16.92,64,3,2.79,US,1700121546
128,nakamura,32.9833,132.9333,13.43,93,100,1.17,JP,1700121547
129,mount gambier,-37.8333,140.7667,12.98,60,34,4.77,AU,1700121391
130,al artawiyah,26.5053,45.3444,23.09,53,0,3.17,SA,1700121547
131,hubli,15.35,75.1667,29.02,51,20,2.57,IN,1700121547
132,flying fish cove,-10.4217,105.6791,27.82,78,75,3.6,CX,1700121548
133,nar'yan-mar,67.6713,53.087,-13.83,88,99,0.89,RU,1700121548
